row,subset,question,golds,answer_presence_at_10_gt,answer_presence_at_100_gt
2469,main,who are the artists in the traveling wilburys,"[""Roy Orbison"", ""Jeff Lynne"", ""George Harrison"", ""Bob Dylan"", ""Tom Petty""]",True,True
2479,main,when does agents of shield season five start,"[""December 1, 2017""]",True,True
2495,main,how are leaders of the two parties in congress chosen,"[""Senate Republican Conference"", ""Senate Democratic Caucus""]",True,True
2501,main,when was the problem of cfc's discovered,"[""late 1970s"", ""1974"", ""1973"", ""1970s""]",True,True
2502,main,which president of the united states was a boy scout,"[""Gerald Ford"", ""President Gerald Ford""]",True,True
2504,main,the first significant restriction on free immigration in u.s. history was the,"[""Naturalization Act of 1790"", ""Chinese Exclusion Act in 1882""]",True,True
2510,main,how many episodes in my name is earl season 4,"[""27""]",True,True
2514,main,where will the next summer and winter olympics be held,"[""Beijing"", ""Tokyo""]",True,True
2516,main,when did they stop making pull tabs on beer cans,"[""1990"", ""1970s""]",False,True
2518,main,who scored fastest 10000 runs in test cricket,"[""Alastair Cook"", ""Kumar Sangakkara"", ""Brian Lara"", ""Sachin Tendulkar""]",True,True
2525,main,the mughal garden of rashtrapati bhavan is modelled on which garden,"[""the Persian gardens"", ""charbagh""]",True,True
2528,main,who sang i dig rock and roll music,"[""Peter, Paul and Mary""]",True,True
2531,main,explorer who led an early voyage to the coast of newfoundland,"[""Jacques Cartier""]",True,True
2533,main,where is the light between two oceans filmed,"[""Australia"", ""New Zealand""]",True,True
2542,main,which layer of the meninges is connected to the brain,"[""pia mater"", ""The pia mater""]",True,True
2557,main,the first political society started under british rule in india was,"[""The British Indian Association""]",False,True
2562,main,who sang the song with reba does he love you,"[""Linda Davis""]",False,True
2571,main,when did the movie peter pan come out,"[""2003"", ""25\u00a0December\u00a02003""]",True,True
2576,main,what type of reaction occurs to form a dipeptide,"[""peptide bond""]",True,True
2587,main,who is considered the father of modern cosmology,"[""Edwin Hubble""]",True,True
2589,main,who plays on the tv show the resident,"[""Merrin Dungey"", ""Emily VanCamp"", ""Bruce Greenwood"", ""Melina Kanakaredes"", ""Manish Dayal"", ""Matt Czuchry"", ""Moran Atias"", ""Shaunette Ren\u00e9e Wilson""]",True,True
2594,main,who gets to race in the daytona clash,"[""Daytona Pole Award winners"", ""former Clash race winners""]",True,True
2595,main,in which sea pearl is found in india,"[""the Indian Ocean""]",False,True
2606,main,who took the first steps on the moon in 1969,"[""Neil Armstrong""]",True,True
2609,main,who was the original host of what's my line,"[""John Daly""]",False,True
2611,main,what was the name of darth vader star destroyer,"[""Devastator"", ""the Devastator""]",True,True
2617,main,how many episodes are there in modern family,"[""201"", ""232""]",True,True
2620,main,who played adaline in the age of adaline,"[""Adaline Bowman"", ""Blake Lively""]",True,True
2621,main,what is the general structure of an url,"[""a protocol"", ""a hostname"", ""a file name""]",True,True
2632,main,who sang from russia with love james bond,"[""Matt Monro""]",True,True
2633,main,what football player is called the honey badger,"[""Tyrann Devine Mathieu""]",True,True
2636,main,who has the most conference championships in college basketball,"[""Kansas""]",True,True
2649,main,where was the film coming home for christmas filmed,"[""British Columbia""]",True,True
2654,main,what network is showing the monday night football game,"[""ESPN""]",True,True
2665,main,who hosted and won the inagural world cup,"[""Uruguay""]",True,True
2687,main,what type of car is a g wagon,"[""Mercedes-Benz""]",True,True
2694,main,the site of secretion of h+ and cl-,"[""Parietal cells""]",True,True
2695,main,who has the talismans in sailor moon s,"[""Haruka and Michiru"", ""Haruka"", ""Michiru"", ""Sailor Pluto""]",True,True
2713,main,a drug that might be used in surgery for its amnesic properties is,"[""benzodiazepines"", ""Benzodiazepines""]",True,True
2720,main,what is the multiplication sign on the computer,"[""a rotationally symmetric saltire"", ""the symbol \u00d7"", ""*""]",True,True
2726,main,who said that religion is the opiate of the masses,"[""Karl Marx."", ""Karl Marx""]",True,True
2728,main,who sang once upon a dream at the end of maleficent,"[""Lana Del Rey""]",True,True
2730,main,where does the story the great gatsby take place,"[""Long Island of 1922""]",True,True
2745,main,what kind of dog is charkie from curious george,"[""black cocker spaniel"", ""cocker spaniel""]",False,True
2778,main,through what process has the colorado river created the grand canyon in the usa,"[""erosion""]",True,True
2781,main,what information is displayed in clear text from the ftp header,"[""all transmissions""]",True,True
2788,main,who has won the mens singles title in the australian open tennis tournament,"[""Roger Federer""]",True,True
2789,main,what is the longest english word in the dictionary,"[""Methionylglutaminylarginyltyrosylglutamyl...serine"", ""pneumonoultramicroscopicsilicovolcanoconiosis"", ""Pneumonoultramicroscopicsilicovolcanoconiosis""]",True,True
2802,main,who was the winner of the first indianapolis 500,"[""Ray Harroun""]",True,True
2824,main,nearest metro station to gandhi nagar in delhi,"[""Shastri Park metro station""]",False,True
2825,main,when was looking for a sunset bird in winter written,"[""1923""]",False,True
2851,main,who gets the golden boot if its a tie,"[""shared""]",True,True
2866,main,what us state forms the western boundary of montana,"[""Idaho""]",True,True
2873,main,when was the last time it snowed in england on christmas day,"[""2009""]",True,True
2896,main,where do the maple leafs play hockey in toronto,"[""Air Canada Centre"", ""the Air Canada Centre""]",True,True
2899,main,who made possible the first reproduction of the human voice on the phonograph,"[""Thomas Alva Edison"", ""Thomas Edison""]",True,True
2914,main,who won la liga in the last 10 years,"[""Real Madrid"", ""Barcelona"", ""Atl\u00e9tico Madrid""]",True,True
2921,main,who was the buccaneers qb when they won the superbowl,"[""Brad Johnson""]",True,True
2933,main,what are the 5 pillars of faith of islam,"[""concern for the needy"", ""the pilgrimage"", ""life"", ""self-purification"", ""prayer""]",True,True
2943,main,where does sleeping freshmen never lie take place,"[""J.P. Zenger High""]",True,True
2948,main,where was held the first session of muslim league,"[""Dhaka, Bangladesh"", ""Lucknow""]",True,True
2952,main,what new deal program limited production in industry,"[""National Industrial Recovery Act"", ""NIRA""]",True,True
2955,main,what is don quixote's horse's name,"[""Rocinante""]",True,True
2961,main,what kind of sentence contains an independent clause and a dependent clause,"[""A complex sentence"", ""complex sentence""]",True,True
3027,main,where does creatine come from in the body,"[""kidneys"", ""liver"", ""the liver and kidneys"", ""arginine"", ""glycine""]",True,True
3044,main,what are the main crops grown in the united states,"[""Corn"", ""Hay, (non-Alfalfa)"", ""Cotton"", ""Alfalfa"", ""Sorghum"", ""Wheat"", ""Rice"", ""Barley"", ""Soybeans"", ""Hay"", ""Tobacco""]",True,True
3076,main,who is the singer of kal ho na ho,"[""Sonu Nigam"", ""Richa Sharma"", ""Alka Yagnik""]",True,True
3081,main,when did john steinbeck write of mice and me,"[""1937""]",True,True
3088,main,when does the second half of vikings season 5 air,"[""2018"", ""in 2018""]",False,True
3092,main,who wrote put your hand in the hand of the man who stilled the water,"[""Gene MacLellan""]",True,True
3093,main,where is the white castle that harold and kumar go to,"[""in Cherry Hill""]",True,True
3095,main,where is season 3 of the detour filmed,"[""Alaska""]",True,True
3097,main,largest state in the us by land mass,"[""Alaska""]",True,True
3110,main,who played tom hagon in the godfather series,"[""Robert Duvall""]",True,True
3118,main,who won the medals in men's figure skating 2018,"[""Yuzuru Hanyu"", ""Javier Fern\u00e1ndez"", ""Shoma Uno""]",True,True
3119,main,who ruled the ottoman empire in the 1500s,"[""Selim I""]",True,True
3129,main,who wrote the theme song to law and order,"[""Mike Post""]",True,True
3130,main,when did the angel of the north get built,"[""1998"", ""1994""]",False,True
3135,main,who is directly elected according to the constitution,"[""senators""]",True,True
3137,main,baga beach is in north or south goa,"[""North Goa"", ""North""]",True,True
3153,main,who is the character of santa claus based on,"[""Saint Nicholas"", ""Father Christmas"", ""Sinterklaas"", ""Wodan""]",True,True
3155,main,who wrote the song the glory of love,"[""Billy Hill""]",True,True
3160,main,who was allowed to vote in the roman republic,"[""unknown"", ""citizens""]",True,True
3161,main,form from material that has accumulated on the earths surface,"[""Sedimentary rock""]",True,True
3183,main,who were the first settlers in san antonio,"[""Spanish"", ""Spanish explorers"", ""varying cultures of indigenous peoples""]",True,True
3184,main,who played cory's older brother on boy meets world,"[""Will Friedle""]",True,True
3191,main,where does the name de la rosa come from,"[""Spanish""]",True,True
3204,main,who proposed the first accurate model of dna,"[""Watson"", ""Crick""]",True,True
3211,main,when did the new day win the tag team titles,"[""2016""]",True,True
3224,main,the xix of the social security act of 1965 established,"[""Medicaid""]",True,True
3239,main,when did the tradition of self government began in america,"[""1783""]",True,True
3258,main,who is the guy on keeping up with the kardashians,"[""Jonathan Cheban""]",True,True
3260,main,who used the word physiology for the first time,"[""Jean Fernel""]",True,True
3271,main,what awards did the curious case of benjamin button win,"[""Best Makeup"", ""Best Visual Effects"", ""Best Art Direction""]",True,True
3276,main,how long do former presidents get secret service protection,"[""lifetime protection"", ""lifetime""]",True,True
3282,main,when was the r10+20 summit in rio de janeiro held,"[""June 2012"", ""13 to 22 June 2012""]",True,True
3292,main,what dynasty completed the great wall of china,"[""Qin"", ""Ming dynasty"", ""Qing""]",True,True
3301,main,list the seven gifts of the holy spirit,"[""fortitude"", ""wisdom"", ""fear"", ""piety"", ""understanding"", ""fear of the Lord"", ""knowledge"", ""counsel""]",True,True
3310,main,which layer of the osi model handles physical addressing,"[""physical layer or layer 1""]",True,True
3312,main,where is the second largest mall in america,"[""Florida"", ""Aventura, Florida""]",False,True
3317,main,known as the punk poet who used poetry in their music,"[""John Cooper Clarke""]",True,True
3320,main,who has scored the most points for wales v france,"[""Neil Jenkins""]",True,True
3323,main,who wrote i want to dance with somebody by whitney houston,"[""George Merrill"", ""Shannon Rubicam"", ""George Merrill and Shannon Rubicam""]",True,True
3325,main,ahana from dil sambhal ja zara real name,"[""Smriti Kalra""]",False,True
3345,main,where did the crown of thorns starfish come from,"[""Indo-Pacific""]",True,True
3348,main,where is the world cup being held 2018,"[""Russia""]",True,True
3362,main,when will the la sagrada familia be finished,"[""by 2026"", ""2026"", ""2026\u20132028""]",True,True
3363,main,who wrote from now on from the greatest showman,"[""Joseph Trapanese"", ""John Debney"", ""Benj Pasek and Justin Paul""]",False,True
3368,main,when did russia join the world economic forum,"[""1997""]",True,True
3386,main,cast of a nightmare on elm street 1984,"[""Heather Langenkamp"", ""Ronee Blakley"", ""Nick Corri"", ""Johnny Depp"", ""John Saxon"", ""Robert Englund"", ""Amanda Wyss""]",True,True
3417,main,who does betty end up with on riverdale,"[""Archie Andrews""]",True,True
3419,main,what time do tam tams start in montreal,"[""around 10:30am"", ""10:30am""]",True,True
3424,main,who sang you'll be a woman soon in pulp fiction,"[""rock band Urge Overkill"", ""Urge Overkill""]",True,True
3434,main,who was the first black person to register to vote,"[""Thomas Mundy Peterson""]",True,True
3438,main,who explored waters of cuba the bahamas and hispaniola,"[""Christopher Columbus""]",True,True
3441,main,los angeles stadium at hollywood park opening date,"[""2020""]",True,True
3446,main,who says that which we call a rose,"[""Juliet"", ""William Shakespeare""]",True,True
3453,main,where can you find convergent boundaries on earth,"[""Mariana Trench""]",False,True
3457,main,when was the chain first used for f1,"[""1978""]",False,True
3467,main,when does the nba season end this year,"[""April 11, 2018""]",False,True
3478,main,where does the band imagine dragons come from,"[""Las Vegas, Nevada""]",True,True
3480,main,when does elena turn into a vampire in the tv series,"[""season four"", ""fourth season""]",True,True
3485,main,who won nfl football coach of the year,"[""Sean McVay""]",False,True
3497,main,where are they building the new raiders stadium,"[""Paradise, Nevada"", ""in Paradise, Nevada""]",True,True
3503,main,who lives at the end of king lear,"[""Kent"", ""Albany"", ""Edgar""]",True,True
3510,main,who sang buddy can you spare a dime,"[""Rudy Vallee"", ""Bing Crosby""]",True,True
3520,main,what kind of book is where's waldo,"[""puzzle""]",True,True
3552,main,what episode does marnie come back in geordie shore,"[""5""]",True,True
3554,main,who was the actor who played crocodile dundee,"[""Paul Hogan"", ""Paul Hogan, AM""]",True,True
3558,main,who played little ricky on i love lucy show,"[""Keith Thibodeaux""]",True,True
3568,main,who plays dawn on nicky ricky dicky and dawn,"[""Lizzy Greene""]",True,True
3570,main,who is rose in the fall season 2,"[""Valene Kane""]",True,True
3579,main,who does the vocals for feel it still,"[""Portugal. The Man""]",True,True
3591,main,who was selected for the 2018 football hall of fame,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]",True,True
3595,main,which british city is farthest from the sea,"[""Coton in the Elms""]",True,True
3606,main,what college does everyone in gossip girl go to,"[""New York University"", ""Columbia University""]",True,True
3609,main,what is the meaning of the name comanche,"[""enemy""]",True,True
13,sanity,who was the actor that played ben stone on law and order,"[""Michael Moriarty""]",True,True
146,sanity,who does the voice of mickey mouse on mickey mouse clubhouse,"[""Bret Iwan"", ""Wayne Allwine""]",True,True
323,sanity,who is the owner of reading football club,"[""Xiu Li Dai"", ""Dai Xiuli"", ""Dai Yongge"", ""Yongge Dai""]",False,False
424,sanity,during the first world war against which country germany did not fight,"[""Austria-Hungary""]",True,True
462,sanity,what song is played while raising the american flag,"[""Reveille"", ""\""Reveille\""""]",False,False
478,sanity,when does the cannes film festival take place,"[""Cannes, France"", ""usually in May""]",True,True
519,sanity,who are the judges on do you think you can dance,"[""Nigel Lythgoe"", ""Mia Michaels"", ""Adam Shankman""]",True,True
535,sanity,what goes on the bottom of shepherd's pie,"[""minced meat"", ""mashed potato""]",True,True
571,sanity,who was the president of pakistan during 1971 war,"[""President Yahya Khan"", ""Yahya Khan""]",True,True
619,sanity,where did the term hot rod come from,"[""southern California""]",False,True
658,sanity,what is the weight of a honda fit,"[""1,020\u20131,080\u00a0kg""]",False,False
775,sanity,who unveiled the new coat of arms on 27 april 2000,"[""South Africa""]",False,True
883,sanity,how long were the pyramids the tallest structure,"[""over 3,800"", ""over 3,800 years""]",False,False
905,sanity,how many levels of protein structure are there,"[""four""]",True,True
919,sanity,when did the crucifix become the symbol of christianity,"[""in the 2nd century"", ""4th century"", ""the 4th century""]",True,True
1081,sanity,when did the movie princess bride come out,"[""September 25, 1987"", ""1987"", ""September\u00a025,\u00a01987""]",True,True
1327,sanity,what does it mean to fuse the spine,"[""joins two or more vertebrae""]",False,False
1348,sanity,who won the mvp for the national league,"[""Stanton, Giancarlo"", ""Giancarlo Stanton""]",False,True
1458,sanity,what is the official slogan for the 2018 winter olympics,"[""Passion. Connected.""]",False,False
1470,sanity,who was the chief guest of 2014 republic day,"[""Prime Minister Shinzo Abe""]",False,False
1508,sanity,who won the first medal in olympics for india,"[""Norman Pritchard""]",True,True
1596,sanity,what is the main use of the eiffel tower in modern times,"[""visited paid monument"", ""paid monument""]",False,False
1603,sanity,when was clash royale released in the us,"[""March 2, 2016""]",False,False
1642,sanity,how much of the world's diamonds does de beers own,"[""33% in 2013""]",False,False
1645,sanity,who drafted the document of the un declaration of human rights,"[""John Peters Humphrey, Canada"", ""Charles Habib Malik, Lebanon"", ""John Peters Humphrey"", ""William Roy Hodgson"", ""Charles Habib Malik"", ""Ren\u00e9 Cassin, France"", ""Hern\u00e1n Santa Cruz"", ""William Roy Hodgson, Australia"", ""Hern\u00e1n Santa Cruz, Chile"", ""Ren\u00e9 Cassin"", ""Peng Chun Chang"", ""Alexander E. Bogomolov"", ""Eleanor Roosevelt"", ""Charles Dukes"", ""Charles Dukes, United Kingdom""]",True,True
1671,sanity,when did the united states became a nation,"[""1776"", ""July 4, 1776"", ""In 1776""]",True,True
1715,sanity,when is the womens ice skating for the olympics,"[""21 February"", ""21\u201323 February"", ""23 February""]",False,False
1831,sanity,when does the new episodes of supernatural start,"[""October\u00a012,\u00a02017"", ""May\u00a03,\u00a02018"", ""October 12, 2017""]",False,False
1928,sanity,what is the definition of the name thomas,"[""\""twin\"""", ""twin""]",True,True
1942,sanity,panda is a national animal of which country,"[""China""]",True,True
2048,sanity,what's the medal count for canada in the olympics,"[""501"", ""302""]",False,False
2073,sanity,who wrote catch 22 (both names),"[""Joseph Heller."", ""American author Joseph Heller"", ""Joseph Heller""]",True,True
2117,sanity,what is the enrollment at university of miami,"[""16,801"", ""16,801 students""]",False,False
2196,sanity,who does the voice of amy on futurama,"[""Lauren Tom""]",True,True
2280,sanity,when was the peak to peak gondola built,"[""in 2007 and 2008""]",False,False
2341,sanity,when was the day that the pubs ran dry in the poem 9-3,"[""31 October 1972""]",False,False
2492,sanity,what states were most affected by the dust bowl,"[""Iowa"", ""Oklahoma"", ""Nebraska"", ""Arkansas"", ""New Mexico"", ""Kansas"", ""Colorado"", ""Texas"", ""Missouri""]",True,True
2522,sanity,what is the salary of us secretary of state,"[""$205,700"", ""$205,700 annually""]",False,False
2538,sanity,who developed the first printing press in 1430s,"[""Johannes Gutenberg""]",True,True
2761,sanity,who got the first arjun award in athletics,"[""Gurbachan Singh Randhawa""]",False,False
2815,sanity,who talks for belle in beauty and the beast,"[""Julie Nathanson"", ""Jodi Benson"", ""Paige O'Hara""]",True,True
3122,sanity,when did the legal drinking age changed to 21,"[""By mid-1988"", ""October 1986""]",True,True
3147,sanity,when does the next apollo book come out,"[""May 1, 2018""]",True,True
3290,sanity,converting stereo signal to mono signal is called,"[""Panning""]",False,True
3382,sanity,when was the seat moved to the capitol,"[""November 17, 1800"", ""1800"", ""December 1800""]",True,True
3390,sanity,when did jelly beans became associated with easter,"[""during the 1930s"", ""sometime during the 1930s"", ""1930s""]",True,True
3420,sanity,what is money as a medium of exchange,"[""fiat money""]",True,True
3499,sanity,who has the most rings in the nba right now 2017,"[""Boston Celtics center Bill Russell"", ""Bill Russell""]",True,True
3513,sanity,when was fingerprinting first used by the police,"[""the early 20th century"", ""In 1840""]",False,True
3583,sanity,when is the new dumping ground coming out 2017,"[""15\u00a0December\u00a02017""]",False,False
