qid,arm,question,old_golds,verdict,new_golds,operation,propose_reason,uphold,verify_reason,cost_total_billed
2275,tier0d,when did harvard become an ivy league school,"[""1945""]",unanswerable_from_corpus,[],unchanged,"The passages menti[passage text redacted]Ivy League in 1936 (agreed) with the agreement taking effect in the 1955–56 season, but none state 1945 or otherwise confirm when Harvard specifically became an Ivy League school. The recorded answer '1945' is not supported by any passage.",False,,0.006568
2277,tier0d,who proposed that electrons behave like waves and particles,"[""Einstein""]",replace,"[""Louis de Broglie""]",changed,"The passages consistently credit Louis de Broglie with proposing that electrons have both wave and particle properties (wave-particle duality), not Einstein.",True,"The passages directly and repeatedly attribute the proposal to Louis de Broglie: [1] states he '[passage text redacted]""particle"" properties', [3] says he '[passage text redacted]', and [4] credits his 1924 thesis with the wave
inpar",0.027404
2284,tier0d,how many co2 molecules are produced in aerobic respiration,"[""6""]",keep,[],unchanged,"Passage [5] confirms that oxidizing[passage text redacted] requires metabolizing two acetyl-CoA molecules through[passage text redacted]passage [9] gives the overall equation with 6 CO2[passage text redacted] (as the reverse of photosynthesis's 6 CO2 consumed), consistent with the recorded answer of 6 CO",False,,0.007398
2295,tier0d,what is the ultimate objective of financial management,"[""Profit maximization""]",keep,[],unchanged,"Passage [2] explicitly states 'Profit maximization...[passage text redacted],' directly supporting the recorded answer.",False,,0.003768
2310,tier0d,what is the name of the under butler in downton abbey,"[""Charles Carson"", ""Mr Carson""]",replace,"[""Thomas Barrow""]",changed,"The passages identify Thomas Barrow as the footman/valet who later becomes under-butler, while Mr Carson (Charles Carson) is explicitly the butler, not the under-butler.",True,"Passage [1] explicitly identifies Thomas Barrow as ""[passage text redacted]"" while Carson is repeatedly described only as ""the butler"" ([1], [4], [5], [7]). The question asks specifically for the under butler, so the recorded answers (Carson) are factually the wrong role, and t",0.036656
2404,tier0d,philadelphia is known as the city of what,"[""City of Brotherly Love"", ""Brotherly Love""]",unanswerable_from_corpus,[],unchanged,"The passages describe[passage text redacted]and firsts but never mention the nickname 'City of Brotherly Love' or 'Brotherly Love', so this cannot be verified from the given corpus.",False,,0.007288
2504,tier0d,the first significant restriction on free immigration in u.s. history was the,"[""Naturalization Act of 1790"", ""Chinese Exclusion Act in 1882""]",replace,"[""Page Act of 1875""]",unchanged,"Multiple passages explicitly identify[passage text redacted] [passage text redacted]not[passage text redacted] (which concerned citizenship eligibility, not immigration restriction) nor[passage text redacted](described as the first ac",False,"The passages conflict rather than settle the question. While [1], [4], and [6] call[passage text redacted] the first federal/[passage text redacted]law, [9] states plainly that[passage text redacted]'[passage text redacted],' and [2] traces the origin",0.033936
2514,tier0d,where will the next summer and winter olympics be held,"[""Beijing"", ""Tokyo""]",replace,"[""Milan and Cortina d'Ampezzo""]",unchanged,The passages indicate the next Winter Olympics after the snapshot's current point (2022 Beijing having occurred) is t[passage text redacted][passage text redacted] The next Summer Olympics is not identified with a definite host city in the passages (2024 Paris is mentioned as 'set to,False,"The passages do not settle the question in favor of the proposal. Passage [9] shows t[passage text redacted]for[passage text redacted]but the passages give no fixed 'present' date establishing that these are the next Winter Games; passages [1], [2], [4] and [6] describe Beijing",0.028087
2531,tier0d,explorer who led an early voyage to the coast of newfoundland,"[""Jacques Cartier""]",augment,"[""Jacques Cartier"", ""John Cabot""]",changed,"The passages show John Cabot led an early voyage to Newfoundland (1497), landing[passage text redacted]which is at least as valid an answer as Jacques Cartier, who explored[passage text redacted]rather than Newfoundland's coast specifically. Since John Cabot is a well-documented early explorer of Newf",True,"The proposal only adds John Cabot while retaining Jacques Cartier, so nothing valid is dropped. The passages plainly establish Cabot as an explorer who led an early voyage to Newfoundland's coast: [3] says he sighted land on 24 June 1497 with the official tradition placing the first landing at Cape ",0.039959
2571,tier0d,when did the movie peter pan come out,"[""2003"", ""25\u00a0December\u00a02003""]",keep,[],unchanged,"Passage [3] confirms[passage text redacted], matching the recorded answer of 2003; the specific date 25 December 2003 is consistent as the UK release date typically associated with this film, and no passage contradicts it.",False,,0.006666
2576,tier0d,what type of reaction occurs to form a dipeptide,"[""peptide bond""]",unanswerable_from_corpus,[],unchanged,"None of the passages describe the general reaction type (e.g., condensation/dehydration synthesis forming a peptide bond) that occurs to form a dipeptide from two amino acids. Passage 6 mentions a peptide bond forming via a specific ligation reaction, but this is a niche synthetic method, not the ge",False,,0.007962
2611,tier0d,what was the name of darth vader star destroyer,"[""Devastator"", ""the Devastator""]",keep,[],unchanged,"Passage [4] confirms [passage text redacted] in the original film is named Devastator, matching the recorded answer.",False,,0.009044
2636,tier0d,who has the most conference championships in college basketball,"[""Kansas""]",keep,"[""Kansas""]",unchanged,"Passage [3] confirms Kansas is ranked #1 in wins in the Big 12, and passage [10] notes Kansas's streak of[passage text redacted]wa[passage text redacted]since UCLA's, supporting Kansas as the leader in[passage text redacted]specifically (as opposed to NCAA tournament titles, which is a differe",False,,0.007692
2788,tier0d,who has won the mens singles title in the australian open tennis tournament,"[""Roger Federer""]",augment,"[""Roger Federer"", ""Novak Djokovic"", ""Rafael Nadal""]",changed,"The passages show multiple men have wo[passage text redacted] singles title, including Novak Djokovic (2011, 2012, 2019, 2021), Rafael Nadal (2009), and Roger Federer, so the answer should include these additional winners rather than only Federer.",True,"The question asks who has wo[passage text redacted][passage text redacted]\u2014 an open, list-type question rather than one about a single specific year. The passages plainly state that Novak Djokovic won the title in 2011 [6], 2012 [3], 2019 [1][8], and 2021 [2][4], and that Rafael Nadal won it in 200",0.037789
2851,tier0d,who gets the golden boot if its a tie,"[""shared""]",replace,"[""Tie-breaker rules such as goals scored, assists, minutes played, or in some cases sharing the award, are used depending on the competition""]",unchanged,"The passages show tie-breaking varies by competition:[passage text redacted]uses assists then presumably other criteria (passage 3 shows minutes played as a tiebreaker),[passage text redacted] uses goals in the final, and Premier League has sometimes shared the award among multiple players (pas",False,"The passages do not settle a single universal rule, and the recorded answer remains defensible on them. Passage [4] expressly states that t[passage text redacted]has been shared when players tie (three-way shares in 1997\u201398 and 1998\u201399, and Berbatov/Tevez in 2010\u201311), which dir",0.037984
2873,tier0d,when was the last time it snowed in england on christmas day,"[""2009""]",replace,"[""2010""]",changed,"Passage [4] states parts of North West England ha[passage text redacted][passage text redacted]indicating snow on Christmas Day occurred in 2010, which is later than the recorded 2009 answer.",True,"Passage [4] states explicitly that parts of North West England[passage text redacted] ""[passage text redacted]"" Since the question asks for the last (most recent) Christmas Day snowfall in England, and no passage records a later Christmas Day snowf",0.034932
2921,tier0d,who was the buccaneers qb when they won the superbowl,"[""Brad Johnson""]",augment,"[""Brad Johnson"", ""Tom Brady""]",changed,"The Buccaneers have won two Super Bowls: Super Bowl XXXVII with Brad Johnson at QB, and Super Bowl LV with Tom Brady at QB, as confirmed by passages [7], [8], [9], and [10]. The recorded answer only lists Brad Johnson, missing Tom Brady.",True,"The passages plainly establish two distinct Buccaneers Super Bowl wins with two different quarterbacks: passage [9] states Brad Johnson was the quarterback of the 2002 championship team that won Super Bowl XXXVII, and passage [8] states plainly that '[passage text redacted]",0.040129
2948,tier0d,where was held the first session of muslim league,"[""Dhaka, Bangladesh"", ""Lucknow""]",replace,"[""Karachi""]",changed,"Passage [1] explicitly states the first[passage text redacted][passage text redacted]The party was founded/formed in Dhaka in 1906, but that was its founding conference, not the 'first session.' Lucknow is only mentioned as the location of the third session in 1936, not the fi",True,"Passage [1] states directly and unambiguously: ""[passage text redacted]"" That is exactly the question asked. The passages also explain why the recorded answers are not the first session: Dhaka/Dacca was where the League was *founded*[passage text redacted]All",0.043248
3081,tier0d,when did john steinbeck write of mice and me,"[""1937""]",keep,[],unchanged,"Passage [1] confirms[passage text redacted]published in 1937, supporting the recorded answer.",False,,0.004904
3088,tier0d,when does the second half of vikings season 5 air,"[""2018"", ""in 2018""]",unanswerable_from_corpus,[],unchanged,"The passages discuss seasons 4 and 6 split premieres in detail but do not mention a split second half of season 5; season 5 is only described as premiering as a whole[passage text redacted]There is no information about a 'second half of season 5' airing in 2018, so the corpus does not support the re",False,,0.005808
3118,tier0d,who won the medals in men's figure skating 2018,"[""Yuzuru Hanyu"", ""Javier Fern\u00e1ndez"", ""Shoma Uno""]",unanswerable_from_corpus,[],unchanged,"The passages do not include information about the 2018 men's singles figure skating Olympic podium (Hanyu, Fernández, Uno). They mention[passage text redacted]standings from a different event (2022 team event) and other unrelated results, but none confirm the 2018 men's singles individual medalists.",False,,0.007062
3119,tier0d,who ruled the ottoman empire in the 1500s,"[""Selim I""]",augment,"[""Selim I"", ""Bayezid II"", ""Suleiman the Magnificent""]",unchanged,"The passages show multiple sultans ruled during the 1500s: Bayezid II (until 1512), Selim I (1512-1520), and[passage text redacted] (1520-1566), so Selim I alone is incomplete.",False,"The question is ambiguous ('the 1500s' can mean the decade 1500u2013 or the 16th century), and the passages do not settle which reading is intended. Selim I (r. 1512u201320 per passage 8) squarely falls in that period, so the recorded answer remains defensible. Moreover, if the whole 16th century ",0.039976
3135,tier0d,who is directly elected according to the constitution,"[""senators""]",keep,[],unchanged,"Passage [2] confirms that per the Australian Constitution (context of[passage text redacted]), senators are '[passage text redacted],' matching the recorded answer of 'senators'. No other office is described as directly elected in these passages.",False,,0.006342
3211,tier0d,when did the new day win the tag team titles,"[""2016""]",replace,"[""2015""]",changed,"The New Day first wo[passage text redacted]at Extreme Rules in 2015, defeating[passage text redacted]. The '2016' answer likely refers to the renamed Raw[passage text redacted]their original title win as The New Day occurred in 2015.",True,"The passages describe every New Day tag title win, and none occurs in 2016. Passages [3] and [7] state that at Extreme Rules (2015)[passage text redacted] (with Woods given a share[passage text redacted]), that[passage text redacted]",0.062559
3224,tier0d,the xix of the social security act of 1965 established,"[""Medicaid""]",keep,[],unchanged,"Passage [3] confirms that[passage text redacted] established[passage text redacted]; Title XIX of the 1965 Act specifically established Medicaid (Title XVIII established Medicare), consistent with the recorded answer.",False,,0.00794
3239,tier0d,when did the tradition of self government began in america,"[""1783""]",unanswerable_from_corpus,[],unchanged,"The passages give several different dates/contexts related to self-government (e.g., 1619[passage text redacted]1630s direct democracy, 1783 peace treaty ending[passage text redacted]), but none of them explicitly states that '1783' is when the tradition of self-government began. 1783 in passage 9 refe",False,,0.0066
3312,tier0d,where is the second largest mall in america,"[""Florida"", ""Aventura, Florida""]",replace,"[""American Dream Meadowlands, New Jersey""]",changed,"Passage [3] states[passage text redacted] is[passage text redacted], contradicting the recorded answer of Aventura, Florida.",True,"Passage [3] states plainly that[passage text redacted] is '[passage text redacted]' No passage supports the recorded answers of Florida/Aventura — the only Florida-related passage concerns[passage text redacted], which is merely a proposed mall that would be the largest i",0.02848
3417,tier0d,who does betty end up with on riverdale,"[""Archie Andrews""]",replace,"[""Jughead Jones""]",unchanged,"Passage [1] states that in the TV series Riverdale, Betty dates Jughead and, after breaking up with him[passage text redacted]later returns and has a fling with Archie \u2014 but her main relationship/pairing throughout the show is with Jughead, not Archie.",False,"Passage [1], the only one describing the TV series, says Betty dates Jughead but that ""y[passage text redacted]"" If anything, that chronology supports the recorded answer (Archie)",0.030062
3434,tier0d,who was the first black person to register to vote,"[""Thomas Mundy Peterson""]",keep,[],unchanged,"Passage [7] confirms[passage text redacted]was[passage text redacted]under[passage text redacted]in 1870, which supports the recorded answer as first to register/vote in this context. The[passage text redacted] passage refers to a different, later context (1960s registration after disfranchis",False,,0.005448
3453,tier0d,where can you find convergent boundaries on earth,"[""Mariana Trench""]",unanswerable_from_corpus,[],unchanged,"The passages describe what c[passage text redacted]nd give general locations (e.g., Pacific Ocean rim, Indian Ocean, Atlantic, Mediterranean via oceanic trenches), but none mention the Mariana Trench specifically, nor do they support it as the answer to this question.",False,,0.005936
3480,tier0d,when does elena turn into a vampire in the tv series,"[""season four"", ""fourth season""]",replace,"[""season three""]",unchanged,"Passage [10] states Elena's transition (from 'The Departed', the season 3 finale) sets up a[passage text redacted], meaning the transition itself occurs at the end of season three, not season four.",False,"The passages do not plainly require the change. They show only that Elena *begins* her transition in a finale episode ('The Departed'), with reviewers noting this sets up '[passage text redacted]' \u2014 which is equally consistent with her actually completing the turn into ",0.037652
3497,tier0d,where are they building the new raiders stadium,"[""Paradise, Nevada"", ""in Paradise, Nevada""]",keep,[],unchanged,"Passage 9 explicitly states Allegiant Stadium, the new Raiders stadium, is located[passage text redacted], confirming the recorded answer.",False,,0.006738
3552,tier0d,what episode does marnie come back in geordie shore,"[""5""]",unanswerable_from_corpus,[],unchanged,"The passages confirm Marnie Simpson joined series 7 and rejoined for series 12 after leaving, but none specify which specific episode number within any series she returns in. There is no mention of episode '5' or any specific episode number for her return.",False,,0.006694
3570,tier0d,who is rose in the fall season 2,"[""Valene Kane""]",keep,[],unchanged,"Passage [6] confirms Rose Stagg in The Fall is played by Valene Kane, matching the recorded answer.",False,,0.00625
3595,tier0d,which british city is farthest from the sea,"[""Coton in the Elms""]",unanswerable_from_corpus,[],unchanged,"The passages identify Coton in the Elms (Church Flatts Farm) as the fa[passage text redacted], but Coton in the Elms is a village, not a city. Derby is noted as ~ distance from that point, but the passages never state Derby or any city is the farthest British city from the sea; they only",False,,0.006364
