qid,question,golds,answer,judge_reason,label,auditor,justification
2514,where will the next summer and winter olympics be held,"[""Beijing"", ""Tokyo""]","Based on the passages: the next Winter Olympics will be held in Milan and Cortina d'Ampezzo, Italy (2026).

I don't know (regarding the next Summer Olympics location, as the passages do not specify it).","The candidate names Milan-Cortina 2026 and declines on the Summer host, matching neither gold answer (Beijing or Tokyo).",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",time-relative; corpus documents Paris 2024 and Milan-Cortina 2026
2531,explorer who led an early voyage to the coast of newfoundland,"[""Jacques Cartier""]",John Cabot,"The candidate names John Cabot, a different explorer than the gold answer Jacques Cartier.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'early voyage' fits Cabot 1497 as readily as Cartier
2571,when did the movie peter pan come out,"[""2003"", ""25\u00a0December\u00a02003""]",1953,"The candidate gives 1953 (the Disney animated film), which does not match the gold answers of 2003.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","which Peter Pan film; gold is 2003, answers give the 1953 Disney version"
2576,what type of reaction occurs to form a dipeptide,"[""peptide bond""]",Esterification,"Esterification is a different reaction; dipeptides form via a condensation/dehydration reaction creating a peptide (amide) bond, not an ester linkage.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","a dipeptide forms by condensation into a peptide bond, not esterification"
2611,what was the name of darth vader star destroyer,"[""Devastator"", ""the Devastator""]",Executor,"The candidate names the Executor, which does not match the gold answer Devastator.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","Devastator is Vader's Star Destroyer, Executor his Super Star Destroyer flagship"
2636,who has the most conference championships in college basketball,"[""Kansas""]",Purdue,"The candidate names Purdue, which differs from the gold answer Kansas, the program with the most conference championships.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Kansas leads conference championships; Purdue does not
2788,who has won the mens singles title in the australian open tennis tournament,"[""Roger Federer""]",Novak Djokovic,"The gold answer is Roger Federer, but the candidate names Novak Djokovic, a different player, so it does not match the accepted fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",no year given; many players have won the title
2851,who gets the golden boot if its a tie,"[""shared""]","Based on the passages, if players are tied in goals for the Golden Boot, the award goes to the player with the most assists during the tournament.","The gold answer states the award is shared in a tie, whereas the candidate claims it goes to the player with the most assists, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the World Cup Golden Boot tiebreaker is assists; gold says shared
2873,when was the last time it snowed in england on christmas day,"[""2009""]",2010,"The candidate states 2010, which differs from the accepted answer of 2009.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",2009 and 2010 both had white Christmases; 2010 was the widespread one
2921,who was the buccaneers qb when they won the superbowl,"[""Brad Johnson""]",Tom Brady,"The gold answer is Brad Johnson; the candidate names Tom Brady, a different quarterback than the one accepted.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the Buccaneers' 2020 title under Brady postdates the 2002 Brad Johnson gold
2948,where was held the first session of muslim league,"[""Dhaka, Bangladesh"", ""Lucknow""]","Karachi, 1907","The candidate names Karachi, which does not match either accepted answer (Dhaka or Lucknow), so it states a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",founding at Dhaka 1906 vs first annual session at Karachi 1907
3081,when did john steinbeck write of mice and me,"[""1937""]","John Steinbeck wrote *Of Mice and Men* in 1936, while living in Monte Sereno, California.","The candidate states 1936, a different year than the gold answer of 1937 (the novella's publication year).",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","written 1936, published 1937; the question says 'write'"
3088,when does the second half of vikings season 5 air,"[""2018"", ""in 2018""]","November 29, 2017","The candidate gives November 29, 2017, which is the first half's premiere date, not 2018 when the second half aired.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","Nov 2017 is the season-5 part-one premiere, not the second half"
3118,who won the medals in men's figure skating 2018,"[""Yuzuru Hanyu"", ""Javier Fern\u00e1ndez"", ""Shoma Uno""]","Based on passage [4], at the 2018 Winter Olympics team event men's segment, Nathan Chen placed first, Shoma Uno second, and Mark Kondratiuk's teammate placed third in the short program referenced — but individual event medals are not fully specified in the passages.

I don't know","The candidate fails to name the gold medalists, gives incorrect team-event details, and explicitly states it does not know the individual medalists.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","answers the team event rather than the individual medals, and garbles it"
3119,who ruled the ottoman empire in the 1500s,"[""Selim I""]",Bayezid II,"The candidate names Bayezid II, a different ruler than the accepted answer Selim I.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'the 1500s' reads as the decade (Bayezid II) or the 16th century (Selim I)
3135,who is directly elected according to the constitution,"[""senators""]",Members of the House of Representatives,"The gold answer identifies senators as directly elected under the constitution (Seventeenth Amendment), whereas the candidate names House members, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the House was directly elected originally; senators only after the 17th Amendment
3211,when did the new day win the tag team titles,"[""2016""]",Extreme Rules 2015,"The candidate gives 2015 (Extreme Rules), which differs from the gold answer of 2016.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","which reign; the New Day first won in 2015, gold says 2016"
3224,the xix of the social security act of 1965 established,"[""Medicaid""]",Medicare and Medicaid,Title XIX established only Medicaid; including Medicare (Title XVIII) states an additional incorrect fact rather than the specific gold answer.,judge_strict,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",asserts the gold fact (Medicaid) with an incorrect addition (Medicare)
3239,when did the tradition of self government began in america,"[""1783""]","**1619**, with the establishment of the House of Burgesses in Virginia.","The candidate gives 1619 (House of Burgesses), which differs from the gold answer of 1783.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",1619 House of Burgesses is the standard answer for self-government's start
3312,where is the second largest mall in america,"[""Florida"", ""Aventura, Florida""]","American Dream Meadowlands, in New Jersey.","The candidate names American Dream in New Jersey, which conflicts with the gold answer identifying Aventura, Florida as the second largest mall's location.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",American Dream opened 2019 and displaced the Florida mall in the ranking
3417,who does betty end up with on riverdale,"[""Archie Andrews""]",Jughead,"The candidate names Jughead, whereas the gold answer states Betty ends up with Archie Andrews, so it states a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'on riverdale' reads as the series (Jughead) vs the comics pairing (Archie)
3434,who was the first black person to register to vote,"[""Thomas Mundy Peterson""]",Hartman Turnbow,"The candidate names Hartman Turnbow, not Thomas Mundy Peterson, the gold answer, so it states a different fact.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Thomas Mundy Peterson is the documented first; Turnbow is a 1960s figure
3453,where can you find convergent boundaries on earth,"[""Mariana Trench""]","Convergent boundaries are found mostly around the Pacific Ocean, as well as in the eastern Indian Ocean, parts of the Atlantic Ocean, and the Mediterranean.","The candidate gives broad ocean regions rather than the specific gold answer, the Mariana Trench, so it does not state the required fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",gold names one instance (Mariana Trench); the answer gives the general distribution
3480,when does elena turn into a vampire in the tv series,"[""season four"", ""fourth season""]","Elena begins her transition into a vampire in the season 3 finale episode ""The Departed.""","The gold answer identifies season four, while the candidate commits to the season 3 finale, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",transition begins in the season-3 finale and completes in season 4
3497,where are they building the new raiders stadium,"[""Paradise, Nevada"", ""in Paradise, Nevada""]","Las Vegas, Nevada","Allegiant Stadium is in unincorporated Paradise, Nevada, not within Las Vegas city limits, so the answer names a different locality than the gold answer.",judge_strict,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","Allegiant Stadium is in Paradise NV, universally described as Las Vegas"
3552,what episode does marnie come back in geordie shore,"[""5""]",Series 12,"The gold answer is episode 5, while the candidate states Series 12, a different fact that does not match.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",question asks the episode; the answer gives the series number
3570,who is rose in the fall season 2,"[""Valene Kane""]",Rose Veronica Stagg (née McGill),"The question seeks the actress who plays Rose (Valene Kane); the candidate instead gives the character's full name, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'who is Rose' admits the character or the actress
3595,which british city is farthest from the sea,"[""Coton in the Elms""]",Derby,The gold answer is Coton in the Elms; Derby is a different place and does not match the accepted answer.,unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","RUBRIC GAP: gold names a village, not a city; Derby is the standard answer for a city"
