qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
826,eligible,eligible,"The passages confirm Stephen Foster composed[passage text redacted],"" including its lyrics, matching the recorded gold answer.","The question clearly identifies a single well-known song, the gold answer Stephen Foster is correct, and the passages explicitly credit him with writing it.",who wrote the text for jeanie with the light brown hair,"[""Stephen Foster""]",eligible,eligible
841,ambiguous,ambiguous,"The University of Michigan has many sports programs each with their own[passage text redacted]s (basketball, football, hockey, etc.), so without specifying a sport the question could refer to different years like 1997 for football or other sports for different years.","The question doesn't specify which sport, and Michigan has won national titles in many sports (football 1997, basketball 1989, hockey, etc.) at different times, so no single answer is determined.",when was the last time university of michigan won a national championship,"[""1997""]",ineligible,ambiguous
845,ambiguous,ambiguous,"The question is inherently contested since the passage presents Cyrus's cylinder as an early human rights-related document but not clearly authored as a 'declaration,' while the actual[passage text redacted]written by a committee, making the intended entity unclear.","The question doesn't specify which[passage text redacted]s meant ""first"" \u2014 it could refer to the ancient Cyrus cylinder (gold: Cyrus), the 1789 French[passage text redacted], or[passage text redacted]the 1948[passage text redacted](Humphrey), all of which the passages support as c",who wrote the first declaration of human rights,"[""Cyrus""]",ineligible,ambiguous
855,unanswerable,unanswerable,"None of the reference passages discuss the song 'I Drive Your Truck' or its narrative content, so the gold answer cannot be verified from this corpus.","The question about Lee Brice's ""I Drive Your Truck"" has a sound gold (the song's subject is the singer's deceased brother), but none of the provided passages mention that song at all, so they cannot settle it.",in the song i drive your truck who is he talking about,"[""his brother""]",ineligible,unanswerable
861,eligible,eligible,"The passages clearly state[passage text redacted]was fought from 19 October to 22 November 1914, matching the gold answer's end date.","The question clearly refers to[passage text redacted], and the passages repeatedly confirm it ran from 19 October to 22 November 1914, matching the gold answer.",when did the first battle of ypres end,"[""22 November 1914""]",eligible,eligible
868,ambiguous,ambiguous,"There are multiple 'new'[passage text redacted]adaptations mentioned (the 2017 film with Dan Stevens and the 2022 TV special with Josh Groban), so without a specified year 'the new' one is underdetermined.","""The new[passage text redacted]"" doesn't pin down which production is meant 
initially[passage text redacted]film (Dan Stevens), but the passages also describe a 2018 Hollywood Bowl concert (Anthony Evans) and a 2022 ABC live special (Josh Groban) as the Beast, so no single answer is determined.",who plays the beast on the new beauty and the beast,"[""Dan Stevens""]",ineligible,ambiguous
873,eligible,wrong_gold,"The passages support 793 (specifically the Lindisfarne raid dated 6 January 793 in some traditions, or the broader 786–802 raiding period) as the first known Viking contact with Britain, matching the recorded golds.","The question asks when Vikings first sailed to and reached Britain, but the golds (a specific 793 date for the Lindisfarne raid, and an unrelated range 786
cdash802) conflict with the passages, which date[passage text redacted]landing to 789 at Portland and the Lindisfarne raid to 8 June 793, and note ",when did the vikings first sail and reach britain,"[""6 January 793"", ""786\u2013802""]",eligible,eligible
884,eligible,eligible,"The passages directly confirm that[passage text redacted][passage text redacted], matching the recorded gold answer.","The question is clear and the passages directly confirm that[passage text redacted]s where[passage text redacted]ccur, matching the gold answers.",which is the site of the light dependent reactions of photosynthesis,"[""thylakoid membranes"", ""the thylakoid membranes""]",eligible,eligible
891,wrong_gold,ambiguous,"The question asks about the source/type of energy ([passage text redacted]) powering Puerto Rico, but the gold answer names the utility company (PREPA) rather than the actual energy source.","The question could be asking about the energy source (mostly imported[passage text redacted]) or the supplying utility (PREPA), so the gold answer only fits one of two plausible readings.",where does puerto rico's power come from,"[""Puerto Rico Electric Power Authority""]",ineligible,ineligible_class_disputed
896,wrong_gold,eligible,"The passages indicate the Ford F-150 model was introduced in 1975 as a heavy-half variant of the F-Series, but the question asks about the first[passage text redacted]which actually began in 1948 (or 1940 as F-100 platform), making the gold answer conflate F-150 naming with the truck line's origin, th","The question asks for the introduction year of the Ford F-150, and the passages confirm it appeared in 1975 as a heavier half-ton response to emissions rules, matching the gold.",when was the first ford f 150 made,"[""1975""]",eligible,eligible
901,ambiguous,ambiguous,"The passages list multiple parks (Franklin Mountains, Jacksonville's system, Fairmount/Wissahickon, Red Mountain Park, etc.) each described as among[passage text redacted], so 'largest city park' is not uniquely determined and depends on how 'city park' is defined.","""Largest city park"" is underdetermined \u2014 it could mean largest single urban park by area, largest municipal park system, or largest park within city limits, and the passages support multiple competing claimants ([passage text redacted]Jacksonville's system, Red Mountain Park, Fairmount ",what's the largest city park in the united states,"[""Franklin Mountains State Park""]",ineligible,ambiguous
907,eligible,unanswerable,"[passage text redacted]is indeed a[passage text redacted]song about a wedding (its narrative describes a bride's wedding and the groom's discovery of infidelity), and the passages confirm this is their well-known hit, making the gold answer correct and retrievable.","The gold song is correct as the well-known[passage text redacted]track set at a wedding, but the given passages only mention it as a hit single without describing its wedding-themed content, so they don't establish the answer.",panic at the disco song about a wedding,"[""I Write Sins Not Tragedies""]",eligible,eligible
931,unanswerable,unanswerable,"The passages describe general desert fauna and mention some Great Victoria Desert-related species like[passage text redacted][passage text redacted], but do not comprehensively confirm the full list of gold animals (e.g., malleefowl, water-holding frog, sandhill dunnart, dingo, sand goanna, chestn","The question about the Great Victoria Desert is well-posed and the gold list of endemic species is plausible, but the supplied passages describe other deserts (Tanami, Atacama, Sahara, Uluru area, etc.) and never enumerate the Great Victoria Desert's fauna, so they don't support the specific gold an",what kind of animals live in the great victoria desert,"[""malleefowl"", ""water-holding frog"", ""great desert skink"", ""sandhill dunnart"", ""dingo"", ""sand goanna"", ""crest-tailed mulgara"", ""southern marsupial mole"", ""chestnut-breasted whiteface"", ""perentie""]",ineligible,unanswerable
937,eligible,eligible,"The question is clear and the gold list of[passage text redacted]UK, and US matches the passages' consistent identification of the five permanent[passage text redacted]members.","The question has a single well-defined answer set, and the passages explicitly confirm[passage text redacted]listed in the gold.",who are the permanent member of un security council,"[""China"", ""United Kingdom"", ""United States"", ""Russia"", ""France""]",eligible,eligible
944,stale_gold,stale_gold,"The passages indicat[passage text redacted]now the fastest train in India, superseding the gold answer Gatiman/Mumbai Rajdhani Express which reflects an outdated ranking.","The gold names Gatimaan (160 km/h) and Mumbai Rajdhani as the fastest train, but the passages state that the later-introduced[passage text redacted]now India's fastest train, so an answer drawn from the corpus would not match the gold.",which is the fastest train in india and what is its speed,"[""Gatiman"", ""160km/hour"", ""Mumbai Rajdhani Express""]",ineligible,stale_gold
966,unanswerable,wrong_gold,"The passages discuss various philosophers and the 'return to nature' concept but never mention Bacon in connection with this idea, so the gold answer cannot be verified from the given text.","The ""return to nature"" idea is classically associated with Rousseau (and the passages discuss Rousseau, Thoreau, Ruskin, etc.), not Bacon, who is nowhere linked to this notion, so the recorded gold is factually incorrect.",which philosopher advocated the idea of return to nature,"[""Bacon""]",ineligible,ineligible_class_disputed
967,eligible,eligible,"The passages clearly and consistently name[passage text redacted]s the leader of[passage text redacted], matching the recorded gold answer.","The question clearly asks who led[passage text redacted], and the passages repeatedly identify[passage text redacted]s the leading conquistador, matching the gold.",who led the conquest of the incas in south america,"[""Francisco Pizarro"", ""conquistador Francisco Pizarro""]",eligible,eligible
970,eligible,eligible,"The passage explicitly states the bald eagle[passage text redacted], matching the recorded gold answer.","The question is unambiguous and a passage explicitly states the bald eagle belongs to the sea eagle genus Haliaeetus, matching the gold.",what is the genus of a bald eagle,"[""Haliaeetus""]",eligible,eligible
972,eligible,eligible,"The passages confirm[passage text redacted]lie to the[passage text redacted], matching the recorded gold answers.","The question is a garbled but interpretable phrasing asking what lies[passage text redacted], and the passages explicitly state that[passage text redacted]on the east, matching the gold answers.",what is the collection of the districts to the east of the jordan river,"[""Jordan"", ""Golan Heights""]",eligible,eligible
978,unanswerable,unanswerable,"The provided passages describe Old North Church bells, lighting systems in other contexts, and unrelated churches, but never mention Robert Newman or Captain John Pulling hanging lanterns for Paul Revere's ride.","The gold names Robert Newman and John Pulling as the ones who hung the signal lanterns in 1775, which is historically sound, but the supplied passages only discuss bells,[passage text redacted]other church details without mentioning the lantern signal or those individuals.",who hung the lanterns in the old north church,"[""Robert Newman"", ""Captain John Pulling""]",ineligible,unanswerable
987,unanswerable,unanswerable,"The passages describe bayou vegetation and wildlife in detail but never mention Spanish moss hanging from trees, so the gold answer cannot be verified from this corpus.","The gold answer (Spanish moss) is a reasonable common-knowledge answer, but none of the supplied passages mention moss hanging from bayou trees, so they cannot settle the question.",what hangs from the trees in the bayou,"[""Spanish moss""]",ineligible,unanswerable
990,eligible,eligible,"The passages confirm that the trunk is the region of the body including thorax and abdomen, which is another name for the torso, matching the gold answer.","The question asks for a synonym of torso, and ""trunk"" is correct; the passages reference both torso and trunk as the central body region, so the item is fair.",another name for the torso is the blank region of the body,"[""trunk""]",eligible,eligible
992,unanswerable,wrong_gold,"The reference passages do not mention the show From Dusk Till Dawn or its number of seasons at all, so the gold answer cannot be verified from this corpus.","The question asks for a count of seasons, but the gold ""third season"" is an ordinal label rather than a number of seasons (the series had three), so it answers a different question and is poorly formed; the passages also contain nothing about From Dusk Till Dawn.",how many seasons of from dusk till dawn are there,"[""third season""]",ineligible,ineligible_class_disputed
1000,eligible,eligible,"The passages clearly confirm that G stands for Games (played) in baseball statistics, matching the gold answers.","The passages explicitly define G in baseball statistics as games played, matching the recorded gold answers.",what does g stand for in baseball stats,"[""Games"", ""Games played""]",eligible,eligible
1001,eligible,stale_gold,"The passage confirms that under the loophole allowing[passage text redacted] to enter the draft, Thon Maker was among the last such players before the practice ended, supporting the gold answer.","The passages mention Matur Maker alongside Thon Maker as high schoolers exploiting the postgraduate loophole, and the gold's currency depends on an unstated date; the passages don't settle that Thon Maker was the last such draftee, and a later name appears, making the recorded gold outdated/unsuppor",who was the last nba player to get drafted out of high school,"[""Thon Maker""]",eligible,eligible
1003,eligible,eligible,"The passages confirm the 27th Amendment became[passage text redacted]which is the last amendment ratified into the Constitution, matching the gold answer.","The question asks for the date of the most recent[passage text redacted]'s adoption, and the passages confirm[passage text redacted]took effect May 5, 1992, matching the gold, with no later amendment mentioned.",when was the last amendment to the constitution passed,"[""May 5, 1992""]",eligible,eligible
1005,wrong_gold,stale_gold,"The passages indicate John J. Flanagan was[passage text redacted](Republican) who resigned in 2020, while the actual[passage text redacted]is[passage text redacted], making the recorded gold both outdated and role-incorrect.","The gold names Flanagan, the Republican leader from before 2019, while the passages show[passage text redacted]became[passage text redacted]in 2019 and Flanagan later became minority leader and resigned.",who is the new york state senate majority leader,"[""John J. Flanagan""]",ineligible,ineligible_class_disputed
1016,eligible,ambiguous,"The passages consistently show Wonder Woman[passage text redacted][passage text redacted] with a cover date of[passage text redacted], matching all three recorded gold answers as valid depending on which date convention is used.","The question doesn't specify whether it means the cover date of her debut anthology issue (Dec 1941/Jan 1942), the actual release date (October 1941), or her first solo Wonder Woman title, so multiple distinct answers are defensible and the gold list itself mixes three of them.",when was the first wonder woman comic released,"[""December 1941"", ""January 1942"", ""October 1941""]",eligible,eligible
1020,eligible,eligible,"The passage explicitly identifies Michael Buffer as famous for the phrase '[passage text redacted]', supporting the gold answer.","The question clearly asks about the origin of the catchphrase, the gold answer Michael Buffer is correct, and a passage attributes the famous phrase to him as ring announcer.",who coined the phrase let get ready to rumble,"[""Michael Buffer""]",eligible,eligible
1026,eligible,eligible,"The passages confirm both gold answers, stating[passage text redacted]under[passage text redacted].","The question names a single specific mission, and the passages confirm both recorded golds—that it[passage text redacted]under[passage text redacted] in 1791.",who founded mission nuestra senora de la soledad,"[""the Franciscan order"", ""Ferm\u00edn Francisco de Lasu\u00e9n""]",eligible,eligible
1028,ambiguous,ambiguous,"The question doesn't specify which Winter Olympics edition, and while the gold assumes the 2018 PyeongChang Games, the passages show multiple Winter Olympics editions with different locations and dates, making the intended edition underdetermined without a year specified.","The question asks about ""the Winter Olympics"" without specifying an edition or year, so it could refer to 2018, 2022, 2026, 2030, etc., and no single host/date answer is determined.",where are the winter olympics and when do they start,"[""Pyeongchang County, South Korea"", ""Pyeongchang, South Korea"", ""9 to 25 February 2018"", ""9 February""]",ineligible,ambiguous
1032,eligible,wrong_gold,"The question asks about the process (plate tectonics/continental drift) causing continents to separate, and the passages support 'continental drift' (and its underlying mechanism) as a valid answer to this loosely worded question.","The question asks for the process/mechanism that drives continents apart, which the passages attribute to plate tectonics driven by mantle convection and seafloor spreading, whereas the gold merely restates the phenomenon's name ('continental drift') rather than naming a causal process.",what process causes the continents to drift apart how,"[""Continental drift""]",eligible,eligible
1048,wrong_gold,wrong_gold,"The passages clearly identify Tesco a[passage text redacted](largest)[passage text redacted]by market share and revenue, while Aldi is not supported as largest by any passage, making the inclusion of Aldi in the gold answer factually unsupported.","Tesco is correct as the UK's[passage text redacted], but the inclusion of Aldi as a gold answer is factually wrong since Aldi is a much smaller discounter, not the market leader.",who is the largest supermarket chain in the uk,"[""Aldi"", ""Tesco""]",ineligible,wrong_gold
1056,ambiguous,ambiguous,"The question has no clear single answer since multiple artists (Rihanna, Michael Jackson, R. Kelly, Aretha Franklin, etc.) are each described with superlative claims about record sales in R&B, making the ranking dependent on metric and source used.","The question doesn't specify whether it means all-time record sales, singles vs albums, male vs female, or a particular chart metric, and the gold itself lists two conflicting names while the passages name still others (R. Kelly, Aretha Franklin) as top-selling R&B acts.",who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",ineligible,ambiguous
1063,eligible,eligible,The passages confirm the Cubs beat[passage text redacted]in[passage text redacted]matching the recorded gold answer.,"The question specifies a single event (2016 World Series), and the passages clearly confirm the Cubs defeated[passage text redacted]matching the gold answers.",who did cubs beat in 2016 world series,"[""the Indians"", ""Cleveland Indians""]",eligible,eligible
1065,stale_gold,stale_gold,"The question has no fixed year, and the passages show multiple later return dates (e.g. November 26, 2018 and December 16, 2019) that supersede the recorded gold answers about the 2017 season eight return.","The question lacks a season/year reference and the gold points to the 2017[passage text redacted]while the passages document later returns (season nin[passage text redacted] and season te[passage text redacted]), so a correct answer from these passages would not match the gold.",when do love and hip hop new york come back on,"[""November\u00a013,\u00a02017"", ""October 30, 2017""]",ineligible,stale_gold
1066,ambiguous,ambiguous,"The question doesn't specify country, and the two gold answers correspond to different events (1983 UK, 1984 US), so the correct answer depends on an unspecified locale.","The question doesn't specify a country, and the two gold answers reflect different jurisdictions (UK in 1983, US in 1984), so no single answer is determined.",when did ibuprofen become available over the counter,"[""1983"", ""1984""]",ineligible,ambiguous
1071,eligible,eligible,"The passages confirm Ali won[passage text redacted]at the 1960 Rome Olympics, matching the recorded gold answer.","The question has a single clear answer, and the passages repeatedly confirm that Ali wo[passage text redacted]Olympic gold at the 1960 Rome Games, matching the gold answer.",when did muhammad ali win an olympic gold medal,"[""1960""]",eligible,eligible
1085,ambiguous,ambiguous,"The question asks about 'this year' without specifying which year, and the passages show WEF meetings held in Davos across many different years (and even a planned move to Singapore for 2021), so the intended year and thus location cannot be determined.","The question says ""this year"" without specifying which year, and the annual forum has been held in different locations over time (including a planned move to Singapore), so no single edition is determined.",where was the world economic forum held this year,"[""Davos""]",ineligible,ambiguous
1088,eligible,eligible,"The passages consistently show Emma Swan romantically involved with Hook (Killian Jones), whom she eventually marries, supporting the gold answer.","The passages confirm Emma's romantic partner is[passage text redacted](whom she eventually marries), matching the recorded gold, and the question unambiguously refers to the Once Upon a Time character Emma Swan.",who is emma dating in once upon a time,"[""Hook""]",eligible,eligible
1089,unanswerable,ambiguous,"The question asks about the World Cup of Hockey specifically, but the passages only discuss[passage text redacted]and[passage text redacted], not the World Cup of Hockey tournament, so the gold cannot be verified from these passages.","The question names no edition or year and doesn't clarify which hockey tournament (World Cup of Hockey,[passage text redacted]orld Juniors) is meant, so a single start date/year cannot be determined.",when does the world cup of hockey start,"[""2020""]",ineligible,ineligible_class_disputed
1093,wrong_gold,ambiguous,"The passages indicate the film's actual theatrical/general US release was March 2018, but its Canadian release (via video on demand) was specifically March 9, 2021, not March 9, 2018 as the gold states.","The title ""A Wrinkle in Time"" matches multiple works, and the passage about a Canadian release on March 9 refers to a 2021 video-on-demand release of a different film, so the question does not determine which release date (2018 Disney film's general March 2018 release vs. the 2021 Canadian VOD date)",when does a wrinkle in time come out in canada,"[""March 9, 2018""]",ineligible,ineligible_class_disputed
1094,wrong_gold,ambiguous,"The question conflates two different[passage text redacted]s—angina severity is graded by[passage text redacted](CCS) scale, not the NYHA[passage text redacted], so the gold answer 'II' does not correctly answer the question as posed.","The question asks vaguely about an NYHA[passage text redacted]without specifying which class or which grading criterion is wanted, and the gold ""II"" is a bare class label that the question does not uniquely determine; the passages describe[passage text redacted]rather than any N",new york heart association functional classification of angina,"[""II""]",ineligible,ineligible_class_disputed
1103,eligible,ambiguous,"The passages confirm Máximo Gómez, Antonio Maceo, and José Martí as key leaders of[passage text redacted] against Spain, matching the recorded gold answers.","Cuba had multiple distinct revolts against Spain (Aponte's 1812 rebellion, the Ten Years' War under Céspedes and Agramonte, the 1895[passage text redacted], etc.), and the question gives no year or war name to pick out which leaders are intended.",the cuban revolt against spain was led by,"[""M\u00e1ximo Gomez"", ""Antonio Maceo"", ""Jos\u00e9 Mart\u00ed""]",eligible,eligible
1106,eligible,eligible,"The passages confirm Colby cheese[passage text redacted]Colby, Wisconsin, matching the recorded gold answer.","The passages directly state that Colby cheese[passage text redacted]Colby, Wisconsin, matching the recorded gold answer.",colby chees is named after a town in what state,"[""Wisconsin""]",eligible,eligible
1108,eligible,eligible,"The passages support that iron reacting with oxygen and water forms iron oxides/hydroxides, i.e., rust, matching the gold answer.","The question asks a straightforward chemistry fact with a single correct answer (rust/iron oxide corrosion), and the passages describe iron corroding in the presence of water and oxygen to form iron oxides, supporting the gold.",what happens when iron reacts with oxygen and water,"[""Rust""]",eligible,eligible
1113,eligible,eligible,"The passages confirm that Norman Greenbaum originally wrote and recorded ""Spirit in the Sky,"" matching the gold answer.","The question asks who originally performed ""Spirit in the Sky,"" and the passages confirm Norman Greenbaum as the original artist of the hit song, matching the gold answer.",who did the original spirit in the sky,"[""Norman Greenbaum""]",eligible,eligible
1114,ambiguous,eligible,"The query describes an internet-based[passage text redacted]but multiple such tests (TOEFL iBT, iTEP,[passage text redacted],[passage text redacted]) fit the description, so the intended single answer is underdetermined.","The query clearly refers to the internet-based[passage text redacted], whose standard abbreviation is TOEFL, and the passages mention TOEFL by its full name, making the gold sound and supported.",internet based test of english as a foreign language test,"[""TOEFL""]",eligible,eligible
1118,eligible,eligible,The passages consistently support that at least seven offensive players must be[passage text redacted]matching the recorded gold answers.,"The question asks about the standard offensive requirement, and the passages clearly state that the offense must hav[passage text redacted]matching the gold answers.",how many players on the line of scrimmage in american football,"[""at least seven players"", ""at least seven"", ""seven""]",eligible,eligible
1122,ambiguous,unanswerable,"The gold lists two different people because there is disagreement over whether Meighen's two non-consecutive terms count separately, making the '11th' ordinal underdetermined and not resolvable from the passages, which don't even cover this period.","The gold answers (Bennett as 11th PM, with Meighen as a plausible alternative depending on counting convention) are defensible, but the supplied passages only cover 14th and later prime ministers and never mention the 11th, so they cannot settle the question.",who was the 11th prime minister of canada,"[""R. B. Bennett"", ""Arthur Meighen""]",ineligible,ineligible_class_disputed
1125,stale_gold,stale_gold,"The passages show that the next two Winter Olympics after Beijing are already known to be Milan-Cortina in 2026 and the 2030 Games (host to be decided in 2024), so 'Beijing, TBD' is outdated given that Beijing 2022 has already passed and the following editions are now identified.","The gold reflects a moment when Beijing 2022 was upcoming and the following host was undecided, but the passages show 2022 has already occurred and the next editions are Milan-Cortina 2026 and the 2030 Games, so a correct answer from this corpus would not match.",where are the next two winter olympics going to be held,"[""Beijing"", ""TBD""]",ineligible,stale_gold
1148,ambiguous,ambiguous,"The question does not specify which[passage text redacted](a 30-man match occurred in multiple different years with different winners), so multiple correct answers exist and neither gold name matches a clearly identified 30-man edition in the passages.","The Royal Rumble is an annual 30-man match with a different winner each year, and the question specifies no year or edition, so no single answer is determined (indeed the gold lists two different winners).",who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",ineligible,ambiguous
1155,eligible,wrong_gold,"The passages confirm the World Series is a best-of-seven series, so a team must win four games to win it, matching the recorded gold's description of the format.","The question asks for a number of wins (four), but the gold gives the series format label ""best-of-seven"" rather than answering how many games must be won.",how many games does a team have to win for the world series,"[""best-of-seven""]",eligible,eligible
1158,eligible,eligible,"The passage confirms Hansen[passage text redacted] prevalent in Denmark, Norway, and the Faroe Islands, matching all recorded gold answers.","The passage identifies Hansen a[passage text redacted] common in[passage text redacted]the Faroe Islands, matching the listed gold answers.",where does the last name hansen come from,"[""Norway"", ""the Faroe Islands"", ""Scandinavian"", ""Denmark""]",eligible,eligible
1174,unanswerable,ambiguous,"The passages describe broadcast dates and locations for various series but never state when the results show is actually recorded relative to airing, so the gold answer cannot be verified from this text.","The question doesn't specify a series/era, and the two gold answers themselves conflict (recorded Saturday vs. aired Sunday night), so no single answer is determined; the passages also never address when the results show is recorded.",when is the strictly come dancing results show recorded,"[""Saturday"", ""Sunday night""]",ineligible,ineligible_class_disputed
1183,unanswerable,unanswerable,The passages mention Johnny Bravo only briefly in an unrelated context and do not provide any information about how many seasons the show had.,"The question about the number of seasons of the cartoon Johnny Bravo is well-formed with a plausible gold of four, but the provided passages only mention Johnny Bravo in passing within a game description and otherwise concern unrelated shows, so they don't establish the season count.",how many seasons of johnny bravo are there,"[""four""]",ineligible,unanswerable
1191,eligible,eligible,"The passage explicitly confirms that episode 12 of season 5, ""Safe House,"" aired on March 18, 2018, matching the gold answer.","The question, though awkwardly phrased, clearly asks the air date of season 5 episode 12, and a passage confirms that episode aired on March 18, 2018, matching the gold.",when does brooklyn nine nine season 5 episode 12,"[""March\u00a018,\u00a02018""]",eligible,eligible
1216,ambiguous,ambiguous,"Multiple flags (Vietnam, Aruba, Soviet Union, etc.) are red with a gold star, so the question does not uniquely determine Vietnam as the answer.","Many flags are red with a gold/yellow star (Vietnam, China, Morocco, Soviet-era flags, etc.), so the question underdetermines which flag is meant and cannot uniquely yield Vietnam.",what flag is red and has a gold star,"[""flag of Vietnam"", ""Vietnam"", ""The flag of Vietnam""]",ineligible,ambiguous
1217,eligible,wrong_gold,"The passages show the palace reached essentially its present size through the successive expansions by Louis XIV and further modifications by Louis XV before the Revolution, supporting the recorded gold answers of both kings.","The passages indicate that Louis XIV's building campaigns (largely under Le Vau and Mansart) brought the palace essentially to its present size by 1715, while Louis XV only altered interiors and rebuilt a wing, so including Louis XV as an answer to who expanded it to its present size is incorrect.",who expanded the palace of versailles to its present size,"[""Louis XIV"", ""Louis XV""]",eligible,eligible
1244,unanswerable,eligible,"The passages confirm Janis Joplin performed the song but do not mention the co-writers Bob Neuwirth and Michael McClure, so the gold cannot be fully verified from this text.","The question clearly identifies the[passage text redacted]nd the gold list of co-writers (Joplin with Neuwirth and McClure) is correct, and the passages do support Joplin's authorship of the song, so the item is fair even though the co-writers are only partially covered.",who wrote the song oh lord won't you buy me a mercedes benz,"[""Janis Joplin"", ""Bob Neuwirth"", ""Michael McClure""]",eligible,eligible
1258,unanswerable,unanswerable,"None of the provided passages discuss the film Harley Davidson and the Marlboro Man or mention Mickey Rourke, so the gold cannot be verified from these passages.","The question is clear and Mickey Rourke is the correct actor for Harley in the 1991 film, but none of the provided passages mention that film's casting.",who played harley in harley davidson and the marlboro man,"[""Mickey Rourke""]",ineligible,unanswerable
1278,eligible,eligible,"The gold answer 1981 is consistent with historical record that the Dodgers last faced the Yankee[passage text redacted]in 1981, and nothing in the passages contradicts this or indicates a later Dodgers-Yankees World Series matchup.","The Dodgers and Yankees last met[passage text redacted]in 1981 (their 2024 meeting postdates this corpus, which only lists Dodgers World Series through 2020 and notes the Yankees' last appearance was 2009), so the gold is correct and consistent with the passages.",when was the last time the dodgers played yankees in the world series,"[""1981""]",eligible,eligible
1279,stale_gold,stale_gold,"The passages show that Jaylen Brown's 2023 extension surpassed Nikola Jokić's deal as the richest in NBA history, superseding Stephen Curry's contract as the highest, so the gold answer is outdated.","The passages record later, larger deals — notably Jaylen Brown's 2023[passage text redacted]extension described as the richest contract in league history — so an answer drawn from this corpus would not be Stephen Curry.",who has the highest paid contract in the nba,"[""Stephen Curry""]",ineligible,stale_gold
1282,stale_gold,stale_gold,The passages show Tom Brady later surpassed Drew Brees (and thus Peyton Manning) as the all-time NFL[passage text redacted]making the gold answer of Peyton Manning outdated.,"The question asks for[passage text redacted]s leader, and the passages show the record has since passed from Manning to Brees and then to Tom Brady, so the gold is outdated.",who got the most passing yards in the nfl,"[""Peyton Manning""]",ineligible,stale_gold
1287,eligible,eligible,The passages confirm[passage text redacted]and releas[passage text redacted]matching the recorded gold answers.,"The question clearly refers to[passage text redacted]single, and the passages confirm its 1979 release, matching the gold answers (the more specific date is consistent though not stated).",when did the song rapper's delight come out,"[""1979"", ""September 16, 1979""]",eligible,eligible
1289,eligible,eligible,The passages confirm the Bee Gees originally wrote and had the first hit with '[passage text redacted]' matching the gold answer.,"The question asks who originally performed the song, and the passages confirm the Bee Gees released it as[passage text redacted]in 1971, with Al Green's version being a later cover, matching the gold.",who sang how can you mend a broken heart first,"[""Bee Gees"", ""the Bee Gees""]",eligible,eligible
1292,eligible,eligible,"The passages confirm that Space Shuttle launches occurred at[passage text redacted], supporting the gold answer.","The question asks where US space shuttles launched from, and the passages confirm[passage text redacted] at[passage text redacted], matching the gold answer.",where does the us launch space shuttles from,"[""Florida""]",eligible,eligible
1293,eligible,ambiguous,"Australia is both an island (the world's largest island/smallest continent landmass) and considered a[passage text redacted], matching the description in the passages, so the gold answer is fair.","The question is a garbled fragment that doesn't specify what is being asked (which country, what property), so many countries could satisfy 'island location' or 'continental location' and no single answer like Australia is determined.",a country having an island location and a country having continental location,"[""Australia""]",eligible,eligible
1313,stale_gold,wrong_gold,"The gold answers reflect the Astros' World Series opponents from 2005 and 2017/2019, but the passages show the Astros' most recent[passage text redacted]was in 2022 against[passage text redacted], making the recorded golds outdated.","The gold answers name the White Sox (an ALDS opponent, not a World Series opponent) and the Dodgers, whereas the passages show the Astros' most recent World Series opponents were the Braves (2021) and Phillies (2022), so the recorded answers are both incorrect and outdated.",who did the astros play last time they were in the world series,"[""White Sox"", ""Los Angeles Dodgers""]",ineligible,ineligible_class_disputed
1320,eligible,wrong_gold,"The passages confirm Finnish and Hungarian belong to the Uralic language family, and Turkish is generally classified separately but the question's framing matches the gold answer as supported by the sources on Finnish and Hungarian being Uralic.","Turkish is a Turkic language, not Uralic, so grouping it with Finnish and Hungarian under ""Uralic languages"" makes the recorded gold factually incorrect (the older discredited ""Ural-Altaic"" notion aside), and the passages only support Finnish and Hungarian being Uralic.",turkish finnish and hungarian belong to which family of languages,"[""Uralic languages""]",eligible,eligible
1322,wrong_gold,ambiguous,"The song 'I Can Only Imagine' by MercyMe[passage text redacted], not 1999, so '1999' is incorrect and only '2001' is supported by the passages.","The title[passage text redacted]fers to multiple songs (MercyMe's 1999/2001 release, David Guetta's 2012 single, etc.), and even for MercyMe the golds give two different dates, so the question doesn't determine a single answer.",when was i can only imagine the song released,"[""1999"", ""2001""]",ineligible,ineligible_class_disputed
1333,eligible,eligible,"The passages confirm[passage text redacted]were both returned to Spain after[passage text redacted], matching the recorded gold answers.","The passages confirm that Spain recovered both[passage text redacted]from Britain at the end of[passage text redacted]via the 1783 treaty, matching both recorded golds.",which state was returned to spain after the revolutionary war,"[""Florida"", ""Menorca""]",eligible,eligible
1336,eligible,eligible,"The passage confirms that gray matter (neocortex) is made up of neuron cell bodies and dendrites, matching the gold answer.","The question asks which brain matter contains dendrites and cell bodies, and gray/grey matter is the correct standard answer, supported by the passages mentioning gray matter formed from neurons and glia in contrast to white matter tracts.",dendrites and cell bodies are components of what type of matter found in the brain,"[""gray"", ""Grey matter""]",eligible,eligible
